Luas Tanah,Luas Bangunan,Kamar Tidur,Kamar Mandi,Daya Listrik,Jumlah Lantai,Kecamatan,Sertifikat,Kondisi Perabotan,Kondisi Properti,Hook,Terjangkau Internet,Harga_Asli,Harga_Prediksi,Selisih
162,190,4,2,2200.0,2.0,sambikerep,SHM - Sertifikat Hak Milik,Unfurnished,Bagus,Tidak,Ya,2500000000,2393866666.6666665,106133333.33333349
72,126,2,1,2200.0,1.0,benowo,"Lainnya (PPJB,Girik,Adat,dll)",Unfurnished,Bagus,Tidak,Ya,680000000,1027650000.0,-347650000.0
300,580,5,5,2200.0,2.0,sambikerep,HGB - Hak Guna Bangunan,Unfurnished,Baru,Tidak,Ya,6500000000,6545500000.0,-45500000.0
304,240,4,3,6600.0,1.0,gayungan,SHM - Sertifikat Hak Milik,Unfurnished,Bagus,Tidak,Tidak,4200000000,4497600000.0,-297600000.0
52,80,3,3,2200.0,1.0,gubeng,SHM - Sertifikat Hak Milik,Unfurnished,Baru,Tidak,Tidak,1100000000,1114800000.0,-14800000.0
75,90,3,3,2200.0,2.0,rungkut,SHM - Sertifikat Hak Milik,Unfurnished,Bagus,Tidak,Ya,1600000000,1602000000.0,-2000000.0
100,140,3,3,2200.0,2.0,rungkut,SHM - Sertifikat Hak Milik,Unfurnished,Baru,Tidak,Tidak,1700000000,1700000000.0,0.0
494,840,4,5,10000.0,3.0,gayungan,SHM - Sertifikat Hak Milik,Unfurnished,Bagus,Tidak,Tidak,7700000000,10429300000.0,-2729300000.0
200,180,3,3,3500.0,1.0,rungkut,SHM - Sertifikat Hak Milik,Unfurnished,Bagus,Tidak,Ya,2900000000,2691000000.0,209000000.0
150,300,5,4,4400.0,2.0,sukolilo,SHM - Sertifikat Hak Milik,Unfurnished,Bagus,Tidak,Ya,3750000000,3413700000.0,336300000.0
128,176,4,3,2200.0,2.0,rungkut,SHM - Sertifikat Hak Milik,Unfurnished,Baru,Tidak,Ya,2550000000,2553083333.333333,-3083333.3333330154
100,175,4,1,1300.0,2.0,wonocolo,SHM - Sertifikat Hak Milik,Unfurnished,Baru,Tidak,Ya,2200000000,2015475000.0000002,184524999.99999976
684,520,5,4,5500.0,2.0,dukuh pakis,HGB - Hak Guna Bangunan,Unfurnished,Baru,Tidak,Ya,18000000000,14492100000.0,3507900000.0
130,130,2,2,4400.0,1.0,tambaksari,SHM - Sertifikat Hak Milik,Unfurnished,Bagus,Tidak,Ya,1100000000,1494233333.333333,-394233333.333333
325,172,4,2,2200.0,1.0,rungkut,SHM - Sertifikat Hak Milik,Unfurnished,Bagus,Tidak,Ya,2500000000,2672488571.4285717,-172488571.4285717
266,148,4,2,2200.0,1.0,wonokromo,SHM - Sertifikat Hak Milik,Unfurnished,Bagus,Tidak,Tidak,4850000000,3583800000.0,1266200000.0
450,900,5,6,5500.0,2.0,sukolilo,SHM - Sertifikat Hak Milik,Unfurnished,Bagus,Tidak,Ya,14000000000,14185000000.0,-185000000.0
75,120,3,3,2200.0,2.0,rungkut,SHM - Sertifikat Hak Milik,Unfurnished,Baru,Tidak,Ya,1400000000,1361571212.1212122,38428787.878787756
93,130,3,3,2200.0,2.0,tambaksari,SHM - Sertifikat Hak Milik,Unfurnished,Bagus,Tidak,Tidak,1300000000,1397766666.666667,-97766666.66666698
