Kecamatan,Cluster,Price,Kamar Tidur,Kamar Mandi,Luas Tanah,Luas Bangunan,Sertifikat,Daya Listrik,Ruang Makan,Ruang Tamu,Kondisi Perabotan,Jumlah Lantai,Hadap,Terjangkau Internet,Lebar Jalan,Sumber Air,Hook,Kondisi Properti
wonokromo,0,600000000,3,2,45,70,SHM - Sertifikat Hak Milik,1300.0,Tidak,Tidak,Unfurnished,2.0,Barat,Tidak,,,Tidak,Baru
rungkut,2,600000000,3,2,48,2023,SHM - Sertifikat Hak Milik,1300.0,Ya,Ya,Unfurnished,2.0,Selatan,Ya,2 Mobil,PAM atau PDAM,Tidak,Baru
semampir,0,600000000,3,3,48,85,SHM - Sertifikat Hak Milik,1300.0,Ya,Ya,Unfurnished,3.0,Selatan,Ya,2 Mobil,PAM atau PDAM,Tidak,Bagus
pakal,1,600000000,2,1,50,91,HGB - Hak Guna Bangunan,1300.0,Ya,Ya,Unfurnished,1.0,Barat,Ya,2 Mobil,Sumur Pompa,Ya,Baru
gayungan,1,600000000,2,2,51,50,SHM - Sertifikat Hak Milik,2200.0,Tidak,Tidak,Unfurnished,1.0,Unknown,Tidak,,PAM atau PDAM,Tidak,Baru
rungkut,1,600000000,2,1,60,60,SHM - Sertifikat Hak Milik,1300.0,Ya,Ya,Unfurnished,1.0,Unknown,Ya,2 Mobil,PAM atau PDAM,Tidak,Sudah Renovasi
tambaksari,0,600000000,3,2,60,120,"Lainnya (PPJB,Girik,Adat,dll)",1300.0,Ya,Ya,Unfurnished,2.0,Unknown,Ya,4 Mobil,PAM atau PDAM,Tidak,Baru
benowo,1,600000000,3,1,64,100,SHM - Sertifikat Hak Milik,2200.0,,Tidak,Unfurnished,1.0,Selatan,Tidak,,,Tidak,Baru
sambikerep,1,600000000,2,1,65,65,SHM - Sertifikat Hak Milik,1300.0,Ya,Ya,Unfurnished,1.0,Unknown,Ya,2 Mobil,PAM atau PDAM,Tidak,Baru
wonokromo,0,600000000,2,1,67,67,SHM - Sertifikat Hak Milik,900.0,Ya,Ya,Unfurnished,2.0,Barat,Ya,1 Mobil,PAM atau PDAM,Tidak,Bagus
benowo,0,600000000,3,2,72,60,SHM - Sertifikat Hak Milik,1300.0,,Tidak,Unfurnished,2.0,Barat,Ya,2 Mobil,,Tidak,Bagus
benowo,0,600000000,2,1,72,72,HGB - Hak Guna Bangunan,2200.0,,,Unfurnished,2.0,Selatan,Unknown,,,Unknown,Baru
rungkut,1,600000000,1,2,72,72,SHM - Sertifikat Hak Milik,1300.0,Tidak,Tidak,Unfurnished,1.0,Utara,Tidak,,PAM atau PDAM,Tidak,Bagus
rungkut,1,600000000,2,1,72,60,HGB - Hak Guna Bangunan,1300.0,Tidak,Tidak,Unfurnished,1.0,Selatan,Tidak,2 Mobil,PAM atau PDAM,Tidak,Unknown
rungkut,1,600000000,1,2,72,72,SHM - Sertifikat Hak Milik,1300.0,Tidak,Tidak,Unfurnished,1.0,Utara,Tidak,1 Mobil,PAM atau PDAM,Tidak,Unknown
rungkut,1,600000000,2,1,72,60,"Lainnya (PPJB,Girik,Adat,dll)",2200.0,Tidak,Tidak,Unfurnished,1.0,Selatan,Tidak,,PAM atau PDAM,Tidak,Bagus
sambikerep,1,600000000,3,2,72,60,"Lainnya (PPJB,Girik,Adat,dll)",1300.0,Tidak,Tidak,Unfurnished,1.0,Barat,Tidak,,PAM atau PDAM,Tidak,Bagus
sambikerep,1,600000000,2,1,81,63,SHM - Sertifikat Hak Milik,2200.0,Ya,Ya,Unfurnished,1.0,Unknown,Ya,2 Mobil,PAM atau PDAM,Tidak,Baru
sambikerep,1,600000000,2,1,84,61,SHM - Sertifikat Hak Milik,2200.0,,Ya,Unfurnished,1.0,Unknown,Ya,,PAM atau PDAM,Tidak,Baru
benowo,0,600000000,3,2,90,60,SHM - Sertifikat Hak Milik,2200.0,Ya,Ya,Unfurnished,2.0,Unknown,Tidak,,PAM atau PDAM,Tidak,Baru
lakarsantri,1,600000000,4,2,90,90,SHM - Sertifikat Hak Milik,1300.0,Tidak,Tidak,Unfurnished,1.0,Unknown,Ya,,PAM atau PDAM,Tidak,Baru
tambaksari,1,600000000,7,1,91,91,SHM - Sertifikat Hak Milik,900.0,Tidak,Tidak,Unfurnished,1.0,Timur,Ya,1 Mobil,Sumur Bor,Tidak,Bagus
tandes,0,600000000,4,2,91,120,SHM - Sertifikat Hak Milik,2200.0,,Tidak,Unfurnished,2.0,Unknown,Tidak,,,Tidak,Bagus
tenggilis mejoyo,1,600000000,2,1,91,50,HGB - Hak Guna Bangunan,1300.0,Ya,Ya,Unfurnished,1.0,Selatan,Ya,2 Mobil,PAM atau PDAM,Ya,Baru
rungkut,1,600000000,3,2,94,75,SHM - Sertifikat Hak Milik,1300.0,,Ya,Unfurnished,1.0,Unknown,Tidak,,PAM atau PDAM,Tidak,Bagus
pakal,1,600000000,4,1,95,95,SHM - Sertifikat Hak Milik,1300.0,Ya,Ya,Unfurnished,1.0,Timur,Ya,,PAM atau PDAM,Tidak,Bagus
lakarsantri,1,600000000,2,1,96,80,HGB - Hak Guna Bangunan,2200.0,,Tidak,Unfurnished,1.0,Unknown,Tidak,,,Tidak,Bagus
tandes,1,600000000,2,1,96,96,SHM - Sertifikat Hak Milik,2200.0,Tidak,Tidak,Unfurnished,1.0,Unknown,Tidak,,,Tidak,Bagus
tandes,1,600000000,2,1,96,96,SHM - Sertifikat Hak Milik,2200.0,Tidak,Tidak,Unfurnished,1.0,Unknown,Tidak,,,Tidak,Bagus
tandes,1,600000000,3,1,108,108,HGB - Hak Guna Bangunan,2200.0,Tidak,Tidak,Unfurnished,1.0,Unknown,Tidak,,,Tidak,Bagus
wiyung,0,607000000,3,2,128,158,SHM - Sertifikat Hak Milik,3500.0,,,Unfurnished,2.0,Selatan,Unknown,,,Unknown,Bagus
rungkut,0,615000000,1,2,377,150,SHM - Sertifikat Hak Milik,1300.0,Ya,Ya,Unfurnished,2.0,Utara,Ya,3 Mobil,PAM atau PDAM,Tidak,Bagus
sawahan,1,620000000,3,1,54,80,SHM - Sertifikat Hak Milik,1300.0,Tidak,Tidak,Unfurnished,1.0,Selatan,Tidak,,PAM atau PDAM,Tidak,Bagus
tegalsari,0,625000000,2,2,45,90,SHM - Sertifikat Hak Milik,1300.0,,Ya,Unfurnished,2.0,Timur,Ya,2 Mobil,PAM atau PDAM,Tidak,Baru
sambikerep,0,625000000,2,2,56,72,SHM - Sertifikat Hak Milik,2200.0,Tidak,Tidak,Unfurnished,2.0,Unknown,Tidak,,,Tidak,Bagus
tambaksari,1,625000000,2,1,63,50,SHM - Sertifikat Hak Milik,2200.0,Ya,Ya,Unfurnished,1.0,Barat,Ya,2 Mobil,PAM atau PDAM,Tidak,Baru
sukolilo,0,625000000,3,2,91,50,SHM - Sertifikat Hak Milik,3300.0,Ya,Ya,Unfurnished,2.0,Selatan,Ya,2 Mobil,PAM atau PDAM,Tidak,Baru
benowo,1,625000000,2,1,105,70,SHM - Sertifikat Hak Milik,1300.0,,Ya,Unfurnished,1.0,Unknown,Ya,2 Mobil,PAM atau PDAM,Tidak,Bagus
wiyung,0,625000000,4,3,126,180,SHM - Sertifikat Hak Milik,4400.0,Tidak,Tidak,Unfurnished,2.0,Utara,Ya,3 Mobil,PAM atau PDAM,Tidak,Baru
